PEREXNO|FCLTUIN|FCLNAME|FCLTYAD|FCLTCIT|FCLCNTY|FCLSTCD|FCLZIPC|FCLGLAT|FCLGLON|S303D|
RIR200016|110000312395|NULCO MANUFACTURING CORP.|30 BEECHER STREET|PAWTUCKET|RI007|RI|02860|41.879166|-71.388885|Y|
RIR200033|110000581273|NEW ENGLAND UNION CO., INC.|HAY STREET|WEST WARWICK|RI003|RI|02893|41.718048|-71.51944||
RIR200034|110001662674|FAIRMOUNT FOUNDRY INC.|25 SECOND AVENUE|WOONSOCKET|RI007|RI|02895|41.998376|-71.525044||
RIR200040|110000313054|SCOTT BRASS, INC.|1637 ELMWOOD AVENUE|CRANSTON|RI007|RI|02910|41.767776|-71.425552||
RIR200045|110004928357|ULTRAFINE POWDER TECHNOLOGY|500 PARK EAST DRIVE|WOONSOCKET|RI007|RI|02895|41.98555|-71.479156|Y|
RIR200056|110000581264|ELECTRIC BOAT CORPORATION|RI ECONOMIC DEVELOPMENT CORP.|NORTH KINGSTON|RI009|RI|02852|40.586105|-71.419434||
RIR200071|110000312698|AMTROL, INC.|1400 DIVISION ROAD|WEST WARWICK|RI003|RI|02893|41.666656|-71.504166||
RIR200076|110010955154|HANDY & HARMAN ELEC MATE CORP.|231 FERRIS AVENUE|EAST PROVIDENCE|RI007|RI|02916|41.849991|-71.358322|Y|
RIR200141|110000312518|TECHNICAL MATERIALS, INC.|FIVE WELLINGTON ROAD|LINCOLN|RI007|RI|02865|41.9215882|-71.475743||
RIR200148|110009813185|VANGUARD SAILBOATS/|SUNFISH LASER|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR200149|110001664280|MERRIFIELD-ROBERTS, INC.|71 BROAD COMMON ROAD|BRISTOL|RI001|RI|02809|41.5961|-71.284988||
RIR200153|110004924501|CUMBERLAND FOUNDRY COMPANY|310 WEST WRENTHAM ROAD|CUMBERLAND|RI007|RI|02864|41.9721816|-71.4061876||
RIR200171|110000581255|STANLEY FASTENING SYSTEMS, LP|ROUTE 2|EAST GREENWICH|RI003|RI|02818|41.6343152|-71.493772||
RIR200173|110009442503|NEW ENGLAND BOATWORKS|ONE LAGOON ROAD|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR200189|110000312224|STANLEY-BOSTITCH, INC.|CALLAHAN ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR200190|110001662601|SEABOARD FOUNDRY, INC.|63 JOHN STREET|JOHNSTON|RI007|RI|02919|41.7945624|-71.4891976||
RIR200243|110009813229|THE TALARIA COMPANY, LLC|1 LITTLE HARBOR LANDING|PORTSMOUTH|RI005|RI|02871|41.5905625|-71.2517835||
RIR200281|110004903285|VICTOR CORPORATION|618 MAIN STREET|WEST WARWICK|RI003|RI|02893|41.725059|-71.535414||
RIR200295|110009813238|ADVANCED CHEMICAL COMPANY, INC|131 BELLOWS STREET AND|WARWICK|RI003|RI|02888|44.768051|-71.398605||
RIR200305|110001664618|AMERICAN INDUSTRIAL CASTING|ONE AMERICAN WAY|EAST GREENWICH|RI003|RI|02818|41.643875|-71.491104||
RIR200489|110000871290|HEALY BROTHERS CORPORATION|60 NEW RIVER ROAD|MANVILLE|RI007|RI|02838|41.9694276|-71.4689929||
RIR210000||||||||0.0|0.0||
RIR210024|110001662530|CARDI CORPORATION|400 LINCOLN AVENUE|WARWICK|RI003|RI|02888|41.75|-71.441666|Y|
RIR210501|110000312411|OSRAM SYLVANIA, INC.|1193 BROAD STREET|CENTRAL FALLS|RI007|RI|02863|41.895219|-71.38752||
RIR220000||||||||0.0|0.0||
RIR220099|110006693765|BB&S TREATED LUMBER OF NE, INC|403 DEVILS FOOT ROAD|DAVISVILLE|RI009|RI|02854|71.46666|-41.599991||
RIR220422|110012803154|BLACKSTONE VALLEY PRESTAIN,INC|730 BRONCO HIGHWAY (RTE. 102)|MAPLEVILLE|RI007|RI|02839|41.9387176|-71.6376694||
RIR220478|110017693959|JOLLY GARDENER PRODUCTS|35A STILSON ROAD|WYOMING|RI009|RI|02898|41.515096|-71.68216||
RIR230000||||||||0.0|0.0||
RIR230006|110000602955|VOPAK USA, INC.|6 HARBORSIDE BOULEVARD|PROVIDENCE|RI007|RI|02905|41.793884|-71.39444|Y|
RIR230009|110000313143|ARCH SPECIALTY CHEMICALS, INC.|210 MASSASOIT AVENUE|EAST PROVIDENCE|RI007|RI|02914|41.833328|-71.375|Y|
RIR230023|110002087312|POLYTOP CORPORATION|110 GRAHAM DRIVE|SLATERSVILLE|RI007|RI|02876|41.998596|-71.579163||
RIR230030|110000762942|LLOYD MANUFACTURING CORP.|130 FRANKLIN STREET|WARREN|RI001|RI|02885|41.727768|-71.276382||
RIR230049|110000313072|TECHNIC, INC.|1 SPECTACLE STREET|CRANSTON|RI007|RI|02910|41.791656|-71.445831||
RIR230050|110000496062|TECHNIC ENGINEERED POWDERS DIV|300 PARK EAST DRIVE|WOONSOCKET|RI007|RI|02895|41.987488|-71.474991||
RIR230058|110035831222|C.N.C. INTERNATIONAL, L.P.|20 PRIVILEGE STREET|WOONSOCKET|RI007|RI|02895|42.012497|-71.512497||
RIR230077|110000819954|G. TANURY PLATING COMPANY|100 RAILROAD AVENUE|JOHNSTON|RI007|RI|02919|41.849991|-71.46666|Y|
RIR230108|110037522865|TORAY PLASTICS (AMERICA), INC.|21 CRIPE STREET|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR230150|110004908280|TORAY PLASTICS (AMERICA), INC.|560 OLD BAPTIST ROAD|NORTH KINGSTOWN|RI009|RI|02852|41.607073|-71.4655565||
RIR230211|110000312705|ORIGINAL BRADFORD SOAP WORKS|200 PROVIDENCE STREET|WEST WARWICK|RI003|RI|02893|41.715217|-71.5100889||
RIR230258|110038168096|ARCH SPECIALTY CHEMICALS, INC.|40 & 80 CIRCUIT DRIVE|NORTH KINGSTOWN|RI009|RI|02852|41.59166|-71.430542||
RIR230370|110028184239|PLIANT CORPORATION|(FORMERLY UNIPLAST U.S., INC.)|HARRISVILLE|RI007|RI|02830|41.9656539|-71.6745112||
