Accession Code (sample#),Lake Name, DEC Code,Date,Z max (m),Sample Type,Sample Z (m),Sample Layer,Secchi (m),Conductivity (umhos),pH air eq,ANC (ueq/L),NH4-N (ug N/L),NH4+ (mg/L),NH4+ (ueq/L),DIC (mg/L),DOC (mg/L),F (mg/L),Cl (mg/L),Cl (ueq/L),NO3-N (mg N/L),NO3- (mg/L),NO3- (ueq/L),SO4-S (mg S/L),SO4-- (mg/L),SO4-- (ueq/L),Total P (ug/L),MRP    (ug P/L),TFP (ug/L),TN (mg/L),Chla (ug/L),Si (mg/l),Dissolved Silica SiO2 (mg/l),Na (mg/L),Na (ueq/L),K (mg/L),K (ueq/L),Fe (mg/L),Mg (mg/L),Mg (ueq/L),Ca (mg/L),Ca (ueq/L),Total Al (ug/L),Total mono Al (ug/L),Nonlabile mono Al (ug/L),Labile mono Ali (ug/L),Hydrologic Type,Watershed,Watershed area (ha),lake volume (m3),WA/SA ratio,surface area (ha),surface area (m2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846076,Moss,040746,6-Aug-08,14.00,G,13.00,Yh,3.50,24.80,7.39,207.08,238.00,0.31,16.83,3.35,2.25,0.16,0.54,15.15,0.03,0.11,1.77,1.15,3.45,69.00,13.24,10.90,1.91,1.16,1.43,4.25,9.10,0.88,37.97,0.44,11.05,0.32,0.39,32.14,3.57,174.98,149.25,22.59,14.25,8.34,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046035,Moss,040746,7-Jul-10,13.50,G,12.00,Yh,4.00,22.60,7.09,129.57,217.00,0.28,15.35,5.56,2.15,0.14,0.56,15.54,0.14,0.62,9.99,1.60,4.80,96.00,3.00,5.20,3.01,0.49,1.40,3.36,7.19,1.25,53.75,0.39,9.75,0.32,0.47,38.70,2.38,116.72,136.36,6.10,0.05,6.05,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046077,Moss,040746,12-Aug-10,12.50,G,12.00,Yh,4.50,32.70,7.30,161.21,318.00,0.41,22.49,6.23,2.58,0.12,0.84,23.49,0.13,0.58,9.28,1.72,5.16,103.20,8.63,13.50,1.49,0.58,2.65,3.36,7.19,1.00,43.09,0.39,9.73,,0.47,38.79,2.53,123.77,155.97,3.37,0.05,3.32,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146034,Moss,040746,13-Jul-11,13.8,G,12.0,Yh,2.5,15.0,7.12,103.14,190.00,0.24,13.44,4.417,2.979,0.1020,0.379,10.612,0.179,0.793,12.685,0.833,2.499,49.980,5.977,4.270,3.608,0.607,3.55,3.11,6.66,0.868,37.324,0.42,10.5,0.74,0.483,39.606,2.501,122.549,334.89,28.602,8.365,20.237,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146073,Moss,040746,9-Aug-11,13.0,G,12.0,Yh,4.2,28.70,7.37,82.26,251.00,0.32,17.75,4.221,3.039,0.1230,0.882,24.696,0.073,0.323,5.166,0.951,2.853,57.060,5.107,12.100,1.208,0.864,1.66,3.25,6.96,0.908,39.044,0.432,10.8,2.58,0.533,43.706,2.868,140.532,75.291,11.738,0.000,11.738,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246034,Moss,040746,10-Jul-12,12.5,G,11.0,Yh,4.00,26.9,7.22,122.64,181.50,0.233,12.837,4.470,2.888,0.105,0.449,12.572,0.147,0.651,10.417,0.987,2.961,59.220,8.917,4.780,1.271,0.490,3.42,3.31,7.08,0.944,40.592,0.376,9.400,0.566,0.498,40.836,3.528,172.872,224.41,10.685,0.000,10.69,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246073,Moss,040746,7-Aug-12,13.5,G,13.0,Yh,3.90,31.10,7.38,174.33,484.00,0.622,34.233,6.564,3.914,0.138,0.570,15.960,0.005,0.020,0.319,0.852,2.556,51.120,13.323,12.000,0.381,1.312,2.48,3.60,7.70,0.957,41.151,0.447,11.175,3.380,0.544,44.608,3.542,173.558,252.73,25.661,1.376,24.29,MDL,black,1314.7,2597578,11.9,45.7,457000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446655,North,0401007,31-Aug-94,15.5,I,5.0,Ye,2.60,23.00,5.38,23.00,25.00,0.03,1.77,0.39,5.14,,0.36,10.08,0.16,0.69,11.05,1.44,4.32,86.40,3.10,3.10,0.50,0.34,2.17,1.96,4.19,0.53,22.79,0.22,5.50,0.32,0.32,26.32,1.68,82.42,255.00,120.00,71.00,49.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446842,North,0401007,29-Jun-94,13.5,I,4.0,Ye,5.00,19.00,4.99,1.80,25.00,0.03,1.77,0.77,3.80,,0.31,8.68,0.33,1.47,23.53,1.30,3.90,78.00,1.10,2.50,0.50,0.57,0.19,1.59,3.40,0.45,19.35,0.26,6.50,0.13,0.30,24.44,1.06,52.06,275.00,190.00,47.00,143.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446905,North,0401007,27-Jul-94,15.6,I,4.0,Ye,3.10,20.00,5.17,16.40,25.00,0.03,1.77,0.47,5.21,,0.52,14.56,0.22,0.99,15.80,1.41,4.23,84.60,4.50,2.80,1.00,0.51,0.95,1.70,3.64,0.46,19.78,0.22,5.50,0.20,0.30,24.76,1.36,66.82,268.00,170.00,58.00,112.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546842,North,0401007,19-Jun-95,13.5,I,4.0,Ye,6.25,20.00,5.19,-1.40,60.00,0.08,4.24,0.54,2.81,,0.51,14.28,0.46,2.06,32.88,1.49,4.47,89.34,1.10,2.10,,0.88,0.39,2.07,4.43,0.67,28.81,0.32,8.00,0.05,0.37,30.34,0.90,43.99,205.00,62.00,60.00,2.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546879,North,0401007,8-Aug-95,15.0,I,7.0,Ye,5.95,18.00,5.68,0.30,50.00,0.06,3.54,0.85,3.44,,0.98,27.44,0.25,1.09,17.43,1.67,5.00,99.90,0.50,2.50,0.50,0.60,0.56,1.98,4.24,0.83,35.69,0.29,7.25,0.25,0.43,35.26,1.04,50.75,144.00,58.00,36.00,22.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546977,North,0401007,13-Sep-95,15.0,I,9.0,Ye,3.70,23.00,5.87,12.41,45.00,0.06,3.18,0.92,3.38,,0.96,26.91,0.20,0.89,14.24,0.88,2.64,52.79,0.50,2.90,1.37,0.49,2.15,0.12,0.26,0.76,32.68,0.33,8.25,0.65,0.43,35.26,1.87,91.82,136.00,15.00,0.00,15.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646751,North,0401007,17-Jun-96,16.5,I,2.0,Ye,5.55,17.30,4.93,1.70,5.00,0.01,0.35,0.70,6.05,,0.53,14.84,0.14,0.62,9.92,0.94,2.82,56.34,3.20,1.69,2.51,0.45,0.75,0.05,0.11,0.50,21.50,0.20,5.00,0.11,0.26,21.32,0.90,43.99,334.00,270.00,91.00,179.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646813,North,0401007,22-Jul-96,15.6,I,4.0,Ye,3.20,15.30,5.42,0.07,5.00,0.01,0.35,0.59,4.61,,0.15,4.20,0.15,0.67,10.70,1.30,3.90,78.00,3.37,0.50,0.50,0.45,1.14,0.30,0.64,0.54,23.22,0.19,4.75,0.20,0.30,24.60,1.16,56.69,314.00,130.00,68.00,62.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9646884,North,0401007,19-Aug-96,16.3,I,4.0,Ye,3.50,16.00,5.54,-10.77,8.00,0.01,0.57,1.33,5.31,,0.36,10.08,0.15,0.67,10.70,1.46,4.39,87.84,3.96,0.50,1.04,0.09,1.50,1.67,3.57,0.58,24.94,0.17,4.25,0.23,0.31,25.42,1.28,62.77,240.00,92.00,88.00,4.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746847,North,0401007,14-Jul-97,15.5,I,4.0,Ye,4.90,17.50,5.53,-16.87,5.00,0.01,0.35,0.53,3.80,0.07,0.13,3.64,0.26,1.13,18.07,1.25,3.75,75.00,3.80,1.49,1.50,0.43,0.85,1.52,3.25,0.57,24.51,0.25,6.25,0.13,0.24,19.68,1.45,71.14,335.00,190.00,110.00,80.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9746920,North,0401007,18-Aug-97,14.7,I,6.0,Ye,3.70,16.40,5.69,-0.35,30.00,0.04,2.12,0.54,5.10,0.08,0.12,3.36,0.20,0.89,14.17,1.29,3.87,77.40,5.00,3.20,2.80,0.50,0.50,1.65,3.53,0.66,28.38,0.35,8.75,0.44,0.36,29.85,1.29,62.97,208.00,86.00,49.00,37.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846656,North,0401007,13-Jul-98,15.0,I,3.0,Ye,3.20,17.94,5.24,0.77,9.19,0.01,0.65,0.57,6.15,0.16,,,0.11,0.50,7.94,0.82,2.45,49.04,5.41,1.31,2.25,0.37,1.28,1.65,3.53,0.50,21.29,0.23,5.68,0.25,0.26,20.99,1.38,67.48,,160.58,85.26,75.31,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9846728,North,0401007,17-Aug-98,15.0,I,3.0,Ye,2.50,13.30,5.72,-7.56,18.48,0.02,1.31,0.50,5.37,0.02,0.30,8.40,0.14,0.62,9.92,1.31,3.93,78.60,9.91,3.39,3.90,0.45,2.59,1.85,3.95,0.63,26.96,0.27,6.85,0.40,0.35,28.86,1.00,48.95,,79.70,34.96,44.73,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946154,North,0401007,29-Jun-99,14.3,I,3.0,Ye,4.30,21.10,5.51,7.41,9.85,0.01,0.70,0.25,2.62,0.02,0.22,6.16,0.21,0.93,14.88,1.31,3.93,78.60,6.88,1.59,0.50,0.40,1.33,1.72,3.68,0.59,25.20,0.24,5.90,0.20,0.33,27.22,1.59,78.01,147.00,69.20,22.19,47.02,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9946229,North,0401007,24-Aug-99,13.8,I,6.0,Ye,4.70,15.40,5.97,14.35,23.28,0.03,1.65,,1.53,0.05,0.27,7.56,0.12,0.53,8.50,1.24,3.72,74.40,3.23,2.23,0.50,0.42,2.40,1.57,3.37,0.65,28.04,0.25,6.25,0.55,0.35,28.54,1.32,64.68,160.04,37.78,11.64,26.14,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046558,North,0401007,18-Jul-00,15.0,I,5.0,Ye,3.50,15.70,5.47,2.07,10.33,0.01,0.73,0.50,2.63,0.04,0.31,8.65,0.10,0.46,7.37,1.35,4.06,81.18,5.71,3.27,1.40,0.47,1.85,1.35,2.89,0.56,23.95,0.19,4.80,0.17,0.28,23.29,1.43,70.02,239.23,95.15,41.33,53.81,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10046630,North,0401007,22-Aug-00,15.0,I,6.0,Ye,2.90,15.30,5.67,10.35,19.89,0.03,1.41,0.50,4.75,0.05,0.30,8.34,0.09,0.40,6.45,1.36,4.09,81.84,5.59,4.67,4.01,0.44,1.96,1.57,3.36,0.59,25.41,0.20,5.10,0.50,0.28,23.21,1.41,69.29,281.17,80.66,40.44,40.22,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146065,North,0401007,17-Jul-01,15.0,I,4.0,Ye,2.20,17.40,5.19,4.55,15.07,0.02,1.07,0.55,5.18,0.02,0.24,6.78,0.17,0.74,11.91,1.20,3.61,72.12,6.55,2.07,2.31,0.49,1.28,1.37,2.93,0.49,21.16,0.22,5.55,0.13,0.25,20.42,1.36,66.74,350.51,141.34,12.99,128.35,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10146146,North,0401007,7-Aug-01,14.0,I,2.0,Ye,2.80,15.20,5.58,7.21,2.50,0.00,0.18,0.47,3.79,0.04,0.20,5.57,0.16,0.72,11.55,1.29,3.87,77.46,5.69,1.96,1.84,0.42,2.25,1.62,3.47,0.47,20.00,0.19,4.80,0.28,0.28,22.96,1.25,61.30,303.02,89.12,11.23,77.89,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246068,North,0401007,13-Aug-02,13.5,I,3.0,Ye,3.30,18.70,5.88,16.23,24.05,0.03,1.70,0.43,2.83,0.04,0.30,8.46,0.11,0.50,8.01,1.39,4.17,83.46,3.68,1.89,1.77,0.34,1.91,1.75,3.75,0.64,27.43,0.20,4.90,0.35,0.30,24.93,1.48,72.32,221.59,48.61,14.53,34.08,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10246150,North,0401007,10-Sep-02,13.3,I,5.0,Ye,3.00,15.50,6.03,8.62,5.00,0.01,0.35,0.50,2.71,0.06,0.28,7.95,0.10,0.45,7.16,1.43,4.28,85.50,4.10,2.10,1.96,0.46,3.21,1.90,4.07,0.69,29.71,0.30,7.43,0.69,0.34,27.72,1.39,67.96,208.90,25.49,2.86,22.63,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346070,North,0401007,15-Jul-03,14.5,I,4.0,Ye,3.50,15.50,5.58,9.70,14.60,0.02,1.03,,3.34,0.03,0.25,7.06,0.14,0.62,9.92,1.33,3.99,79.74,4.69,1.68,0.50,0.31,1.38,1.59,3.40,0.57,24.51,0.23,5.73,0.13,0.27,22.39,1.30,63.90,266.35,87.70,24.50,63.20,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346157,North,0401007,12-Aug-03,,I,,Ye,,16.50,5.60,10.81,26.75,0.03,1.89,0.88,4.01,0.03,0.23,6.50,0.10,0.44,7.02,1.30,3.91,78.24,4.69,2.50,1.85,0.45,1.99,1.82,3.89,0.60,25.67,0.20,4.93,0.39,0.27,22.14,1.51,74.09,264.54,92.16,36.04,56.12,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10346184,North,0401007,4-Sep-03,14.0,I,7.0,Ye,2.30,16.10,5.58,9.71,22.78,0.03,1.61,,5.68,0.04,0.32,8.99,0.07,0.29,4.61,1.24,3.73,74.52,7.53,1.59,1.56,0.44,5.11,1.52,3.25,0.75,32.12,0.20,5.10,0.63,0.27,22.06,1.31,64.29,326.77,101.34,46.09,55.25,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446070,North,0401007,6-Jul-04,14.5,I,4.0,Ye,3.60,14.40,5.34,9.72,16.64,0.02,1.18,0.51,2.54,0.03,0.20,5.60,0.40,1.78,28.42,1.21,3.62,72.48,2.56,0.50,1.26,0.42,1.30,1.81,3.87,0.58,24.90,0.25,6.25,0.13,0.31,25.75,1.22,59.58,281.08,93.55,33.57,59.98,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10446155,North,0401007,11-Aug-04,15.0,I,4.0,Ye,3.00,15.40,5.67,12.53,29.31,0.04,2.07,0.50,3.21,0.03,0.54,15.15,0.13,0.58,9.28,1.15,3.44,68.82,6.24,3.95,,0.45,2.24,2.01,4.30,0.58,24.90,0.23,5.83,0.43,0.33,26.65,1.38,67.82,257.39,62.98,29.76,33.22,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546070,North,0401007,19-Jul-05,16.0,I,2.0,Ye,2.80,16.30,5.49,8.99,5.00,0.01,0.35,0.51,4.13,0.04,0.49,13.83,0.22,0.99,15.80,1.17,3.51,70.20,3.00,0.50,1.00,0.41,1.98,1.68,3.60,0.65,27.78,0.25,6.30,0.33,0.30,24.35,1.31,64.19,260.23,87.34,38.32,49.03,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10546155,North,0401007,16-Aug-05,15.1,I,3.0,Ye,2.90,16.70,5.77,4.79,5.00,0.01,0.35,0.43,3.74,0.04,0.37,10.22,0.15,0.65,10.42,1.21,3.63,72.60,4.68,3.41,1.65,0.36,4.55,1.78,3.81,0.66,28.51,0.25,6.13,0.44,0.32,26.16,1.28,62.87,244.91,62.57,31.71,30.87,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646069,North,0401007,18-Jul-06,15.3,I,1.0,Ye,2.50,13.50,5.16,4.31,5.00,0.01,0.35,0.72,5.07,0.03,0.26,7.31,0.09,0.38,6.09,1.00,2.99,59.70,6.44,3.73,1.42,0.37,1.13,1.53,3.27,0.53,22.88,0.20,5.08,0.38,0.23,18.86,1.23,60.12,422.46,124.64,63.28,61.36,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10646157,North,0401007,16-Aug-06,15.3,I,4.0,Ye,2.20,14.80,5.39,8.01,17.60,0.02,1.24,0.89,4.30,0.01,0.13,3.50,0.03,0.14,2.17,0.14,,,8.05,5.08,2.11,0.40,2.31,1.56,3.34,0.53,22.58,0.20,4.90,0.52,0.25,20.09,1.18,57.82,416.00,110.25,56.91,53.35,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746029,North,0401007,11-Jul-07,15.0,I,3.0,Ye,3.70,14.50,5.64,-4.31,5.00,0.01,0.35,0.44,5.57,0.03,0.05,1.40,0.03,0.11,1.77,0.25,0.75,15.00,4.53,1.89,1.10,0.26,2.24,1.40,3.00,0.52,22.40,0.25,6.23,0.13,0.27,22.47,1.16,56.60,189.78,152.46,60.36,92.09,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10746071,North,0401007,30-Jul-07,15.0,I,6.0,Ye,4.20,14.00,6.00,-8.96,15.00,0.02,1.06,0.72,2.71,0.03,0.42,11.68,0.22,0.98,15.73,0.99,2.97,59.40,3.12,5.42,0.50,0.52,2.06,1.50,3.21,0.60,25.89,0.28,7.08,0.35,0.27,21.99,1.19,58.21,161.76,28.58,11.82,16.76,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846030,North,0401007,2-Jul-08,15.0,I,3.0,Ye,3.20,12.80,5.56,10.08,21.70,0.03,1.53,0.47,2.88,0.03,0.54,15.04,0.13,0.55,8.86,1.07,3.21,64.20,3.14,2.29,1.96,0.39,3.27,1.40,3.00,0.45,19.52,0.24,6.08,0.13,0.20,16.56,1.51,74.09,232.44,0.00,0.00,0.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10846071,North,0401007,7-Aug-08,15.3,I,4.0,Ye,2.90,9.60,5.66,10.47,26.80,0.03,1.90,,3.94,0.03,0.26,7.39,0.03,0.11,1.77,1.05,3.15,63.00,4.96,2.44,1.91,0.17,4.52,1.46,3.12,0.46,19.61,0.20,5.08,0.13,0.22,18.20,1.07,52.33,273.34,73.56,54.32,19.24,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046030,North,0401007,7-Jul-10,14.6,I,1.0,Ye,1.70,15.40,5.47,6.39,18.20,0.02,1.29,0.41,5.11,0.03,0.27,7.64,0.03,0.11,1.77,1.08,3.24,64.80,7.99,4.16,1.10,0.30,7.08,1.42,3.04,0.57,24.34,0.18,4.53,0.13,0.21,16.89,0.80,39.40,319.34,110.90,71.05,39.85,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11046072,North,0401007,11-Aug-10,15.5,I,5.0,Ye,2.10,14.50,5.74,10.49,16.10,0.02,1.14,0.71,6.66,0.04,0.57,15.82,0.00,0.02,0.30,0.88,2.63,52.60,3.65,3.42,2.28,0.27,3.49,1.58,3.38,0.55,23.65,0.14,3.60,,0.21,17.38,0.87,42.53,305.50,93.15,60.87,32.27,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146028,North,0401007,11-Jul-11,17.5,I,3.0,Ye,2.8,7.70,5.90,16.84,19.10,0.02,1.35,0.52,4.21,0.03,0.34,9.60,0.08,0.35,5.62,0.75,2.24,44.82,5.64,3.60,5.96,0.50,3.33,1.48,3.17,0.51,22.10,0.26,6.55,0.35,0.24,19.84,1.17,57.18,203.99,76.17,44.41,31.76,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11146068,North,0401007,8-Aug-11,12.6,I,4.0,Ye,2.6,12.40,6.21,23.98,8.27,0.01,0.58,0.54,4.17,0.03,0.52,14.67,0.03,0.11,1.77,0.82,2.46,49.20,5.61,2.72,1.81,0.29,6.92,1.33,2.85,0.57,24.64,0.27,6.70,0.41,0.25,20.83,1.15,56.50,153.29,29.92,11.93,18.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246028,North,0401007,10-Jul-12,14.5,I,4.0,Ye,2.20,13.2,6.17,24.43,14.40,0.019,1.019,0.444,4.776,0.0437,0.150,4.200,0.064,0.283,4.535,0.772,2.316,46.320,5.702,0.365,1.600,0.621,7.26,1.41,3.02,0.572,24.596,0.190,4.750,0.250,0.279,22.878,1.757,86.093,270.19,43.308,25.796,17.51,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246029,North,0401007,10-Jul-12,14.5,I,13.0,Ye,2.20,15.4,5.82,16.92,166.00,0.213,11.741,2.635,3.694,0.0409,0.150,4.200,0.187,0.828,13.252,0.883,2.649,52.980,6.827,3.960,3.413,0.743,0.42,1.97,4.22,0.514,22.102,0.206,5.150,0.652,0.270,22.140,1.517,74.333,402.26,93.443,54.021,39.42,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11246068,North,0401007,6-Aug-12,14.0,I,4.0,Ye,3.30,14.50,6.37,30.91,50.00,0.064,3.537,0.901,4.460,0.0525,0.283,7.924,0.034,0.151,2.409,0.771,2.313,46.260,4.050,4.560,0.381,0.435,7.45,1.25,2.68,0.606,26.058,0.243,6.075,0.455,0.304,24.928,1.891,92.659,268.34,35.24,16.217,19.02,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446656,North,0401007,31-Aug-94,15.50,G,15.00,Yh,2.60,23.00,5.74,59.50,340.00,0.44,24.05,0.84,6.04,,0.33,9.24,0.28,1.22,19.56,1.33,3.99,79.80,5.60,6.20,2.90,0.75,1.09,1.66,3.55,0.37,15.91,0.29,7.25,2.81,0.28,22.96,1.58,77.23,550.00,180.00,130.00,50.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446858,North,0401007,29-Jun-94,13.50,G,12.00,Yh,5.00,25.00,4.91,-12.35,60.00,0.08,4.24,0.38,4.19,,0.46,12.88,0.47,2.09,33.52,1.27,3.81,76.20,3.90,3.10,2.90,0.71,0.16,1.66,3.55,0.39,16.77,0.29,7.25,0.22,0.28,22.55,1.23,60.08,382.00,330.00,49.00,281.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9446906,North,0401007,27-Jul-94,15.60,G,14.00,Yh,3.10,23.00,5.20,1.77,290.00,0.37,20.51,0.42,6.41,,0.63,17.64,0.32,1.43,22.82,1.27,3.81,76.20,9.60,4.20,1.50,0.74,0.90,1.78,3.81,0.36,15.48,0.26,6.50,1.19,0.27,21.89,1.27,62.39,476.00,300.00,87.00,213.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9546843,North,0401007,19-Jun-95,13.50,G,13.00,Yh,6.25,21.00,5.13,8.30,80.00,0.10,5.66,1.72,2.64,,0.45,12.66,0.54,2.40,38.34,1.45,4.36,87.12,3.80,3.20,1.60,1.03,0.77,2.46,5.26,0.60,25.80,0.34,8.50,0.17,0.36,29.52,1.62,79.42,331.00,200.00,50.00,150.00,TDL,black,8125.7,10106490,46.00,176.80,1768000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
